Original Category,Encoded Value
JINHUALUYUAN,521
JM,522
JMC,523
JOSE,524
JOURNEYMAN,525
JUGGERNAUT,526
JUNCTION,527
JUNCTION SIMPLI,528
K2,529
KALKHOFF,530
KANE,531
KANIS,532
KARAKORAM,533
KENT,534
KENT INTERNATIO,535
KH,536
KHS,537
KHS BICYCLES,538
KHS GRITT,539
KICK SCOOTER,540
KIDS,541
KILIMINJARO,542
KINDHUMAN,543
KING TUT,544
KINGSONG,545
KINK,546
KIWI,547
KLEIN,548
KMS,549
KNIFE,550
KNIU,551
KO,552
KOKANEE,553
KONA,554
KONA KILAUEA,555
KONA SUTRA,556
KONAR,557
KONA\,558
KONO,559
KOTTER,560
KOUGOO,561
KRANKED,562
KRONOS,563
KTM,564
KUO,565
KUOTA,566
KUOTO,567
KUWAHARA,568
KVANN,569
LANKELEISI,570
LAPIERRE,571
LAZER,572
LBS1,573
LEADER,574
LECRTIC,575
LECTIC,576
LECTRIC,577
LECTRO,578
LECTRON,579
LEGACY,580
LEJUNE,581
LEMOND,582
LEO,583
LI,584
LIMIT,585
LINUS,586
LINUX,587
LISEN,588
LITE SPEED,589
LITESPEED,590
LITTLE MISS MAT,591
LIV,592
LOOK,593
LOUI,594
LOUIS GARDINER,595
LOUIS GARNEAU,596
LUNIS,597
LUV,598
LYON,599
MA,600
MACNIEL,601
MAD CAT,602
MADCAT,603
MADD GEAR,604
MAGICYCLE,605
MAGNUM,606
MAINSTREET PEDI,607
MANGOOSE,608
MANHATTAN,609
MANITOU,610
MARC GARNEAU,611
MARI,612
MARIN,613
MARIN  SC  HYPR,614
MARIN OR MARINO,615
MARINOMI,616
MARINONI,617
MARK GARNEAU,618
MARLIN,619
MARTIN,620
MARYN,621
MASI,622
MASSI,623
MATE,624
MAUHEM,625
MAX   BIKE,626
MAX S,627
MAXAM,628
MAYMAK,629
MCKINELY,630
MCKINLEY,631
MCM,632
MCM MOSCOW,633
MCN,634
MEC,635
MECHANICAL,636
MED,637
MEMECYCLE,638
MERCANE,639
MERCEDES,640
MERCEDES BENZ,641
MERCIER,642
MERIDA,643
MERRIN BICYCLE,644
MEST,645
META,646
METAKOO,647
METRO 10,648
MI,649
MIA DORA,650
MIATA,651
MICGARGI,652
MICHAEL BLAST,653
MICRO,654
MIEL,655
MIELA,656
MIELE,657
MIELE UMBRIA,658
MIELIE,659
MIKADO,660
MILANO HYBRID,661
MINELLI,662
MIRRACO,663
MIRRANCO,664
MIYATA,665
MKM,666
MO,667
MOBIN,668
MODELO,669
MOLTEN,670
MOME,671
MOMENTUM,672
MONGOOSE,673
MONSTER,674
MONTANA,675
MOSCOW,676
MOSCOW PLUS,677
MOSKINO,678
MOSKOW,679
MOTIVICANE,680
MOTO,681
MOTO BE,682
MOTOBECANE,683
MOTOBIKE,684
MOTOR,685
MOTORINA,686
MOTORINO,687
MOTORX,688
MOUNTAIN,689
MOUNTAIN CO-OP,690
MOUNTAIN TRAIL,691
MOUNTAINEQUIP,692
MOVELLO,693
MOVELO,694
MOVIN,695
MOVIN',696
MOVING,697
MURRAY,698
MYKA,699
NAKA,700
NAKAMURA,701
NAKANARA,702
NANO,703
NANROBOT SEGWAY,704
NARCO,705
NARIN,706
NAVEE,707
NCM,708
NCM MILANO,709
NCM MOOSCOW,710
NCM MOSCOW,711
NEMO,712
NEO,713
NEXT,714
NEXUS,715
NINEBOT,716
NIRVE,717
NISHIKI,718
NIU,719
NIU CANADA,720
NIVOLET,721
NIXON,722
NO,723
NO NAME,724
NO NAME ST BIKE,725
NONE,726
NONEBOT,727
NORC,728
NORCLE,729
NORCO,730
NORCO BFR4,731
NORDIC,732
NORGO,733
NORTH LOCK,734
NORTH ROCK,735
NORTHLOCK,736
NORTHROCK,737
NORTHWOODS,738
NORVO,739
NOVARA,740
NROCO,741
NSM,742
NUI,743
NYCPF,744
ONYX,745
OP,746
OPUS,747
OPUS BAROPCCO,748
OPUS SPARK,749
OPUS TRITON,750
ORANGE,751
ORBEA,752
ORYX,753
OT,754
OT DIVERGE SPOR,755
OTH,756
OTHE,757
OTHER,758
OTS,759
OZARK,760
OZARK TRAIL,761
PACER,762
PATH RIDER,763
PATHFINDER,764
PAVAN,765
PBSC,766
PE,767
PEDEGO,768
PEDICAB,769
PEGASUS,770
PEGAUS,771
PEUGEOT,772
PEUGOT,773
PHOENIX,774
PHONEIX,775
PIDGEON,776
PIERROT,777
PINA,778
PINARELLO,779
PINERELO,780
PIRELLI,781
PIVOT,782
PLANET X,783
PLUTO-R,784
POMONA,785
POPULO,786
POWERFLY,787
POWERTRAIL,788
PR,789
PRAGUE,790
PRIDE,791
PRO,792
PROCTOR,793
PROTOUR,794
PURE,795
PURE CITY,796
PURE CYCLE,797
PURE CYCLES,798
PURE FIX,799
PUREFIX,800
QUANTUM,801
QUEST,802
QUICK,803
RA,804
RAD,805
RAD CITY,806
RAD POWER,807
RAD POWER BIKE,808
RAD POWER BIKES,809
RADCITY,810
RADPOWER,811
RADPOWERBIKES,812
RADROVER,813
RADRUNNER,814
RADRUNNER2,815
RADWAGON,816
RAHN,817
RAID PRO,818
RALE,819
RALEIGH,820
RALEIGT,821
RAND,822
RAPTOR,823
RATTAN,824
RAVEN,825
RAZOR,826
RBSM,827
RE,828
REAR,829
REARSPEED,830
RED SKY,831
RED-SKY,832
REDHORSE,833
REDLINE,834
REDSKY,835
REEBOK,836
REGAL,837
REGULAR,838
REID,839
REPUBLIC,840
REPUBLICA,841
RETRO SPEC,842
RETROSPEC,843
RHINO,844
RICKSAW,845
RIDE I UP,846
RIDELY,847
RIDLEY,848
RIED,849
RIESE&MULLER,850
RIVET,851
RIZE,852
RM,853
RMB,854
ROAD MASTER,855
ROADMASTER,856
ROAM,857
ROCK,858
ROCK RIDER,859
ROCKHOPPER,860
ROCKRIDER,861
ROCKY MOUNTAIN,862
ROCKYMOUNTAIN,863
ROME,864
RONDO,865
ROOK,866
ROSSIGNOL,867
ROSSIN,868
ROUBAIX,869
ROUBAUX,870
RS5000,871
RUSH,872
RUSH HOUR,873
RVNATE,874
S AND M,875
S MAX,876
S.E RACING,877
SA,878
SACHS,879
SAFARI,880
SALSA,881
SALSA CYCLE,882
SAMEBIKE,883
SANTA CRUZ,884
SATELLITE,885
SATORI ALUMINUM,886
SAVAT,887
SC,888
SCAPIN,889
SCHW,890
SCHWIN,891
SCHWININ,892
SCHWINN,893
SCHWINS,894
SCORPION,895
SCOT,896
SCOTT,897
SCOTT ASPECT,898
SCOTT ASPECT 10,899
SCOTT SPEEDSTER,900
SCWHINN,901
SCWINN,902
SE,903
SE DRAFT,904
SE RACING,905
SEARS,906
SEDONA,907
SEEYES,908
SEGWAY,909
SEKINE,910
SELLE ROYAL,911
SELT,912
SET ME FREE,913
SEVEN PEAKS,914
SHADOW,915
SHAWDOWLAND,916
SHCWINN,917
SHEMANO,918
SHENGMIL,919
SHIMANO,920
SIERRA,921
SILVER SPRING,922
SIMCOE,923
SIOMI,924
SIRIUS,925
SIRRIUS,926
SIRRUS,927
SIRRUSCOMP,928
SIXTHREEZERO,929
SKYLINE,930
SLANE,931
SM,932
SMART,933
SMART BALANCE,934
SMARTKICK,935
SMLRO,936
SMOA SAN MARCOS,937
SO,938
SOHO,939
SOLE,940
SOLO ROCK,941
SOLOROCK,942
SOMA,943
SONDORS,944
SP,945
SPALDING,946
SPARK,947
SPEACIALIZED,948
SPEADWAY,949
SPEALIZED,950
SPEC,951
SPECIAL,952
SPECIAL Z,953
SPECIALISED,954
SPECIALIST,955
SPECIALIZE,956
SPECIALIZED,957
SPECILAISED,958
SPECILAIZED,959
SPECILIZED,960
SPELIAZED,961
SPICER,962
SPORT VELO,963
SPORTEK,964
SPOT,965
SPYDER,966
SSM,967
STARK,968
STATE,969
STATE BICYCLE,970
STERN,971
STINGER,972
STORCK,973
STORK,974
STORMER,975
STRATUS,976
STRIKER TECH TE,977
STROMER,978
STROMMER,979
STRONG,980
STRYDER,981
STUMY ARCHER,982
SU,983
SUBROSA,984
SUJI,985
SUN,986
SUNDAY,987
SUNRA,988
SUNRISE,989
SUPE,990
SUPER,991
SUPER 6,992
SUPER 73,993
SUPER CYCLE,994
SUPER73,995
SUPERBIKE,996
SUPERCYCLE,997
SUPERSPEED,998
SURLY,999
SWFT,1000
SWIFT,1001
SWINN,1002
SWOBO,1003
SYM,1004
SYNERGY,1005
TAARNBY,1006
TAGA,1007
TAKARA,1008
TALON,1009
TANGERINE,1010
TANGERINE BIKE,1011
TANGRINE,1012
TANIK,1013
TANK,1014
TANK X,1015
TANKS,1016
TANKX,1017
TANX,1018
TAO,1019
TAO LEO,1020
TAO TAO,1021
TAO-TAO,1022
TAOTAO,1023
TEC,1024
TECH TEAM,1025
TEK,1026
TELLURIDE,1027
TEO,1028
TERN,1029
TESSA,1030
TEV,1031
TEV BIKE,1032
THC,1033
THEODOR,1034
THIN BLUE LINE,1035
THOMPSON,1036
THS,1037
THULE,1038
TIAN NE NG,1039
TIME,1040
TMC,1041
TNG,1042
TO BE CALLED IN,1043
TOBA,1044
TORONTO BIKE,1045
TR,1046
TRAILRUNNER,1047
TRAK,1048
TRANKS,1049
TRANSEO,1050
TRANSITION,1051
TRAVEL SCOOT,1052
TRAVELLER,1053
TRAX,1054
TREK,1055
TREK 6500,1056
TREK4100,1057
TREKK,1058
TREX 2X 8000,1059
TRIBAL,1060
TRIBAN,1061
TRIBE,1062
TRICROSS,1063
TRIUMPH,1064
TRK,1065
TRUE,1066
TRUE NORTH,1067
TT,1068
TTC TRAUSEO,1069
TU,1070
TUNDRA,1071
TURCO,1072
TUXEDO,1073
TWITTER,1074
TYPHOON,1075
U/K,1076
UJ,1077
UK,1078
UKNOWN,1079
ULTIMATE,1080
ULTRAMOTOR,1081
UNBRANDED,1082
UNIVUGA,1083
UNK,1084
UNKN,1085
UNKNONN,1086
UNKNONW,1087
UNKNOW,1088
UNKNOWN,1089
UNKNOWN MAKE,1090
UNKNOWNN,1091
UNKONWN,1092
UNKOWN,1093
UNO,1094
UNO RISER,1095
URBAN,1096
URBAN EXPRESS,1097
URBAN X,1098
URBANE CYCLE,1099
URBANIT,1100
URBANITE,1101
URBE,1102
UXWING,1103
V-BIKE,1104
VADADO,1105
VAGABOND,1106
VANHAWK,1107
VANMOOF,1108
VAYMAK,1109
VCO,1110
VECTOR,1111
VELCO,1112
VELEACITY,1113
VELEC,1114
VELEC CITI,1115
VELEC CITI PRO,1116
VELEC CITY,1117
VELECCITI,1118
VELIC,1119
VELO SPORT,1120
VELOTEQ,1121
VELTEC,1122
VENTURA,1123
VERDE,1124
VERGE,1125
VERMONT,1126
VERZA,1127
VEVOR,1128
VICE,1129
VICTORY,1130
VIKING,1131
VIKING TRAIL PR,1132
VILANO,1133
VIPER,1134
VIPERMAX,1135
VIPERMAX-APOLLO,1136
VITANO,1137
VITESS,1138
VITESSE,1139
VITUS,1140
VOLT,1141
VOLT BIKE,1142
WAGON,1143
WAHOO 26,1144
WAKIE,1145
WALMART,1146
WARRIOR,1147
WEST COAST,1148
WETHEPEOPLE,1149
WHEELER,1150
WHEELSPEED,1151
WHISPER,1152
WICKED,1153
WIKE,1154
WILIER,1155
WILLIER,1156
WISPER,1157
WOLLY WAGON,1158
WORKMAN,1159
WORKSMAN,1160
WTB,1161
WUDI,1162
XENITH,1163
XIAOMI,1164
XIN RI,1165
XINGYUE,1166
XINLAIKE,1167
XINRI,1168
XIOMI,1169
XRANGER,1170
XTI,1171
XTRA CYCLE,1172
YADEA,1173
YAMAHA,1174
YAMANO,1175
YAMEA,1176
YETI,1177
YONGE IS,1178
YT,1179
YUKON,1180
ZANAY,1181
ZAP,1182
ZBH3,1183
ZENGBU,1184
ZERO,1185
ZIPPER,1186
ZOOM,1187
ZOOMO,1188
ZUMO,1189
ZYCLE,1190
ZYGG,1191
ZZZ,1192
