PRIMARY_OFFENCE,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_YEAR,REPORT_DOW,REPORT_DAY,REPORT_HOUR,DIVISION,PREMISES_TYPE,BIKE_MAKE,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,NEIGHBOURHOOD_158,NEIGHBOURHOOD_140,LAT_WGS84
7,2,4,26,360,19,2014,6,1,17,3,1,350,5,21.0,236,1300.0,1,57,123,43.64002068
37,4,6,1,1,18,2014,6,1,18,3,3,1055,7,1.0,9,689.2800293,0,109,95,43.6605248
58,4,6,1,1,7,2014,6,1,7,3,0,997,3,10.0,9,689.2800293,1,124,110,43.63765719
58,2,6,25,359,16,2014,4,2,16,12,0,144,3,21.0,248,1500.0,1,36,23,43.65237659
58,4,6,1,1,12,2014,4,2,20,13,0,403,4,9.0,35,1019.0,1,57,123,43.64277218
58,11,1,30,273,0,2014,4,2,12,3,0,730,3,21.0,9,750.0,1,74,62,43.64896379
58,2,1,30,364,17,2014,4,2,8,14,5,537,4,24.0,248,500.0,1,10,9,43.71842476
58,2,6,25,359,10,2014,4,2,14,12,5,93,10,25.0,212,400.0,1,21,19,43.66728841
58,2,5,31,365,0,2014,0,3,16,12,0,552,5,18.0,9,1500.0,1,36,23,43.65180399
58,2,5,31,365,0,2014,0,3,16,12,0,754,5,18.0,9,1200.0,1,36,23,43.65180399
58,5,1,1,182,0,2014,0,3,16,7,1,747,7,10.0,190,600.0,1,80,68,43.73114478
58,4,0,3,3,8,2014,2,4,18,2,4,754,3,18.0,133,560.0,1,67,56,43.68593171
58,4,2,4,4,18,2014,2,4,18,12,0,657,7,21.0,35,200.0,1,25,23,43.66378
58,2,1,23,357,9,2014,3,5,9,12,5,293,1,23.0,116,1000.0,1,36,23,43.6585105
51,4,2,4,4,20,2014,3,5,18,14,3,405,3,21.0,125,900.0,1,82,70,43.70586987
7,2,2,28,362,16,2014,1,6,20,7,3,395,3,0.0,262,1500.0,1,40,130,43.7793075
58,9,0,22,326,8,2014,5,7,13,16,0,405,4,3.0,273,1300.0,1,125,111,43.66227352
58,2,0,27,361,20,2014,6,8,9,3,5,36,1,1.0,212,3300.0,1,138,123,43.64696529
9,4,5,7,7,8,2014,6,8,11,16,4,405,3,21.0,228,150.0,1,125,111,43.66032544
58,4,3,5,5,23,2014,6,8,15,12,1,1121,1,23.0,9,1800.0,1,25,23,43.6618755
59,4,6,8,8,20,2014,6,8,21,12,0,754,7,21.0,9,479.0,1,93,79,43.6565283
58,4,0,10,10,6,2014,0,10,15,13,5,997,4,24.0,133,400.0,1,126,123,43.64155728
58,4,0,10,10,9,2014,0,10,17,3,5,316,8,0.0,9,800.0,1,74,62,43.64943899
58,4,2,11,11,7,2014,2,11,21,3,3,170,4,5.0,35,200.0,1,3,3,43.67001422
58,4,2,11,11,7,2014,2,11,21,3,3,714,4,9.0,9,200.0,1,3,3,43.67001422
58,6,4,6,157,9,2014,2,11,10,13,1,1078,7,7.0,9,700.0,1,138,123,43.64605319
58,4,2,11,11,23,2014,1,13,17,15,0,262,3,18.0,48,900.0,1,19,17,43.68852459
58,4,1,13,13,6,2014,1,13,6,0,4,537,5,10.0,9,1100.0,1,83,71,43.64630249
58,4,6,8,8,17,2014,1,13,17,7,0,144,5,20.0,248,2399.0,1,4,130,43.75593079
58,4,5,14,14,10,2014,5,14,16,13,1,1078,7,10.0,178,2000.0,1,153,6,43.65027639
58,4,5,14,14,8,2014,5,14,17,4,2,754,7,3.0,35,600.0,1,98,85,43.5979723
58,4,6,15,15,21,2014,6,15,23,12,5,414,1,1.0,212,750.0,1,93,79,43.6581657
58,4,3,12,12,10,2014,4,16,12,3,0,888,3,21.0,83,300.0,1,57,123,43.64002068
58,4,2,18,18,4,2014,2,18,16,0,3,723,7,16.0,35,120.0,1,83,71,43.64630249
7,4,2,18,18,0,2014,2,18,14,9,3,997,3,15.0,53,150.0,1,146,129,43.73068215
58,4,4,9,9,14,2014,3,19,14,0,4,440,3,21.0,9,350.0,1,71,32,43.66243942
32,4,0,17,17,20,2014,5,21,10,13,5,170,7,5.0,63,100.0,1,74,62,43.6558062
58,4,4,9,9,13,2014,5,21,11,3,3,554,7,21.0,116,2000.0,1,135,120,43.65137819
7,2,6,25,359,0,2014,6,22,16,2,3,957,3,21.0,212,500.0,1,67,56,43.6890839
7,2,6,25,359,0,2014,6,22,16,2,3,405,5,21.0,9,950.0,1,67,56,43.6890839
58,4,3,5,5,12,2014,0,24,18,12,5,1166,8,1.0,9,1800.0,1,21,19,43.6652129
55,4,2,25,25,18,2014,3,26,18,12,1,176,5,18.0,9,10000.0,1,126,123,43.65018529
58,4,1,27,27,17,2014,5,28,13,12,5,1046,7,10.0,248,1600.0,1,21,19,43.6652129
58,4,5,28,28,21,2014,5,28,21,14,5,1035,5,18.0,35,1000.0,1,123,83,43.70474261
58,4,1,27,27,17,2014,5,28,13,12,5,440,7,10.0,212,1100.0,1,21,19,43.6652129
7,4,5,28,28,19,2014,5,28,19,1,0,758,3,10.0,9,689.2800293,1,117,103,43.67258463
58,4,5,28,28,15,2014,6,29,21,14,1,218,4,0.0,35,689.2800293,1,134,119,43.70316888
58,4,6,29,29,8,2014,4,30,17,1,1,723,7,10.0,9,1800.0,1,70,59,43.67200084
58,4,0,31,31,11,2014,2,1,0,2,6,754,3,18.0,9,689.2800293,1,158,140,43.70831326
58,3,2,1,32,15,2014,3,2,11,12,5,758,1,30.0,248,850.0,1,93,79,43.65337439
58,3,1,3,34,19,2014,5,4,9,7,4,862,3,21.0,116,1400.0,1,10,9,43.73213536
58,4,1,27,27,9,2014,5,4,9,0,3,1078,7,21.0,133,400.0,1,71,32,43.66104402
58,3,5,4,35,18,2014,6,5,18,12,5,825,1,1.0,212,400.0,1,21,19,43.6652129
58,3,5,4,35,17,2014,6,5,9,3,0,758,8,1.0,35,2000.0,1,124,110,43.63873149
58,4,0,31,31,15,2014,6,5,15,1,4,1002,3,24.0,116,500.0,1,117,103,43.67079933
58,3,0,7,38,17,2014,0,7,21,12,5,758,1,1.0,9,689.2800293,1,93,79,43.6572985
55,4,2,25,25,8,2014,2,8,16,13,1,889,5,18.0,9,9423.0,1,7,6,43.66854171
58,3,0,7,38,20,2014,3,9,18,15,1,897,3,21.0,9,2500.0,1,112,98,43.68293057
58,3,0,7,38,20,2014,3,9,18,15,1,758,5,18.0,248,4000.0,1,112,98,43.68293057
58,4,6,1,1,18,2014,5,11,18,13,0,754,1,32.0,266,1750.0,1,7,6,43.6624776
58,3,5,11,42,10,2014,5,11,10,14,1,957,5,22.0,212,3300.0,1,134,119,43.71287217
58,3,6,12,43,9,2014,6,12,17,2,5,754,1,1.0,9,1700.0,1,29,27,43.67868881
58,3,2,15,46,18,2014,2,15,19,3,5,537,4,21.0,20,200.0,1,74,62,43.64719409
7,3,3,16,47,19,2014,3,16,19,12,3,820,5,10.0,9,500.0,1,21,19,43.66652981
58,3,3,16,47,14,2014,1,17,5,13,5,249,7,21.0,93,150.0,1,25,23,43.6630379
58,3,3,16,47,20,2014,1,17,9,1,5,316,1,30.0,9,1500.0,1,144,127,43.70382996
58,4,6,15,15,0,2014,1,17,10,16,4,615,3,27.0,227,700.0,1,125,111,43.65943713
58,3,0,14,45,12,2014,1,17,12,3,5,804,3,18.0,9,100.0,1,136,121,43.66539041
58,4,0,17,17,6,2014,1,17,13,16,5,758,8,10.0,9,689.2800293,1,150,134,43.6753297
58,3,4,20,51,10,2014,4,20,10,9,1,820,3,10.0,212,689.2800293,1,33,31,43.74945276
58,3,6,19,50,23,2014,4,20,21,3,3,804,7,2.0,35,0.0,1,135,120,43.65137819
58,4,2,18,18,0,2014,1,24,15,13,0,403,3,21.0,9,1400.0,1,7,6,43.66743411
58,3,1,24,55,9,2014,1,24,15,5,3,295,1,1.0,9,2000.0,1,95,81,43.75098348
58,3,3,23,54,20,2014,1,24,7,2,3,758,4,0.0,35,689.2800293,1,17,15,43.69771626
58,3,1,24,55,20,2014,1,24,22,0,5,983,7,1.0,9,0.0,1,59,49,43.66111477
58,3,5,25,56,8,2014,6,26,9,12,5,957,4,21.0,9,700.0,1,25,23,43.67023281
7,9,6,27,331,12,2014,4,27,18,3,0,386,10,7.0,212,250.0,1,74,62,43.64896379
7,3,3,23,54,14,2014,2,1,16,0,4,957,7,10.0,248,1850.0,1,71,32,43.66536832
